key,source,target
/263B39DA4B3426C3F674F4B8B286269D, - Vote No,
/17B0EF7A4AC50A52FAEB38995BC0436D, - Vote Yes,
/3216B9A74B9FBEC930E517B006EC8874, The Station,
/65C67ABD41FEF24D2FD49B8E65F9B9F8," This allows the player to play through the single-player missions with up to four other people taking the place of computer-controlled SWAT officers. In the expansion, Co-op can run on custom missions and with up to ten players per game, which can further be split into two completely separate teams (red and blue) with a leader each. This is not similar to single player teams where an element leader controls both teams.",
/2530FBDF49FA6E9175EC8298BF17437A,!!TEMP:Arrest The Port Gang leaders.,
/4A1400CF48A5FCA730F4138B3CFA3290,!TEMP: NEEDS DESCRIPTION,
/2C792DB64118F2561FCF688EB30EC8C5,"""Basic Training""",
/A168E94049096AC2C75FB1B87545C6BC,"""Checkin' In""",
/071E165E4974A6C00B4DDC8DF65F510C,"""In The Bowels of America""",
/91F947844CBC20AF50628096C93DCC1C,"""Sujay Dev Level""",
/4FACCBAB43799A12AAD480970BA329D6,"""Thank You, Come Again""",
/D1C3D9054CCA6DEED9639A93040F6E16,"""Thank you, Come Again""",
/A6C76BAE48FCB2203D115C86D9ACDD0E,#,
/FDED20D144A2E265ED2A998E17507BA6,#{Number},
/63295FF84B29C20E1F694FB6429DB295,(Debug: Class Name),
/B4CB3608478149D576C54F9B37B5B003,(Debug: Class Name),
/B19A24B34213C0C9474AC983C594DAC9,(F1),
/9A6572ED48597B46EB56A0BA49BBCAA9,(F2),
/9EEF3759423A3F0BF9B93B81FBA05104,(Local),
/DADE8B844BB94143F41672BDE0D53863,(X=0.0 Y=0.0 Z=0.0),
/41EB1C9D406D1CDDD21FBB82D504BDBD,* Remember values and add to Weapon BPs in Editor,
/B8994DF148408B51BF20499EAC99A01B,+,
/E5281B154626C1B292F90F9792DEF234,+5 PMAG,
/722D01984E0EF77C2027C6B55669B448,-,
/995B4EC34884A209A1D2209435B3F655,-,
/6135D28C4363A06048212EB237F1A70A,--,
/43F8375D42F4246D172435BC5DFFD706,.300 BLACKOUT,
/DF7F2F1C49C502C2F831DBAEBD0B0D43,.357 Magnum,
/7CE3B85141EB052BCEA0F9B72E6A5B96,.40 S&W,
/D92F2749461D3AE793AB7D8550ACF4D1,/JOON/,
/A6FC11294975F5E9BC7243AF53ABA88C,/UNKNOWN/,
/295AE7584D9426367332D6A379FB5283,0,
/37E5518841BC01D6DC4CD2B3331BBA09,0,
/3BF3EAFF405B32041FB69DBE300E19D5,0,
